Arm,HC,DHC 
1,Gakurazo,110
1,Gashora,111
3,Juru,112
2,Kamabuye,113
4,Mayange ,114
2,Ngeruka,115
3,Ntarama,116
3,Nyamata,117
4,Nyarugenge,118
4,Nzangwa,119
1,Ruhuha,120
1,Cyanika,221
4,Gahunga,222
3,Gitare,223
1,Kirambo,224
4,Mucaca,225
2,Ndongozi,226
4,Gisakura,327
3,Karengera,328
2,Kibingo,329
3,Kibogora,330
2,Mugera,331
2,Mwezi,332
1,Nyamasheke,333
4,Yove,334
2,Biryogo,435
1,Cor-unum ,436
4,Kabusunzu,437
3,Rugarama,438
2,Busasamana,539
3,Gisenyi,540
2,Karambo,541
3,Kigufi ,542
4,Mudende,543
1,Murara,544
1,Nyakiriba,545
